,Capacity (mah),Nominal voltage (V),Cells configuration,Discharge (C),Battery height (mm),Bettry length (mm),Battery width (mm),Battery weight (g),Motor name,Shaft diameter (mm),Motor diameter (mm),Motor height (mm),Magnetic poles,KV (rpm/V),Motor weight (g),No load current @10V (A),Resistance (Ohm),Price (€),Propeller Name,Propeller diameter (in),Propeller pitch (in),Propeller weight (g),Propeller material,Total weight (g),Peak rotational speed (rpm),Peak torque (Nm),Peak current (A),Peak thrust (kgf),Total thrust (kgf),Hovering rotational speed (rpm),Hovering torque (Nm),Hovering current (A),Hovering PWM,Hovering time (m)
70492,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,EMAX ECO Micro Series 1404,1.5,18.8,19.75,9N12P,3700,8.6,0.5,0.265,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,192.12,19295.634731991813,0.021279821836579872,8.245145607351542,0.27203830892447695,1.0881532356979078,8824.667960554498,0.005005045552734006,1.939258531621517,0.3917498521113948,27.072202671245677
70420,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,iFlight XING X1404 ,2.0,18.3,12.5,,3800,8.5,,0.28,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,191.72,19195.96838732723,0.021076925358110555,8.387247756271401,0.2694026510957374,1.0776106043829496,8824.66858618846,0.005005076290585999,1.9916951264803644,0.3891832219332706,26.35945597395505
118596,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,TMOTOR F1203,2.0,15.5,14.05,,7000,4.45,,0.198,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,173.68,11171.600377615783,0.014496583820255121,10.626550954101168,0.16311987483401352,0.6524794993360541,6706.645571041596,0.005640095489130953,4.134399772206588,0.48019010252200495,25.3966732259082
118602,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,TMOTOR F1203,2.0,15.5,14.05,,7000,4.45,,0.198,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,185.72,11171.600377615783,0.014496583820255121,10.626550954101168,0.16311987483401352,0.6524794993360541,6706.645571041596,0.005640095489130953,4.134399772206588,0.48019010252200495,25.3966732259082
118696,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,TMOTOR F1103,1.5,14.4,14.0,,8000,5.3,,0.163,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,176.92000000000002,15003.830695132629,0.013361114810635564,11.193381368763324,0.16952239028593158,0.6780895611437263,8824.668405775354,0.005005059349499906,4.193014145063579,0.4828499611803465,25.04165174916382
70405,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,,Gemfan 5040 R,5.0,4.0,3.0,ABS,195.0,14882.704139452095,0.027728185863620556,8.71106650065227,0.2645518906009028,1.0582075624036111,6908.242338993033,0.006703319073783595,2.105909123325898,0.39086513525165667,24.929850684670505
70416,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,iFlight XING X1404 ,2.0,18.3,12.5,,3800,8.5,,0.28,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,191.88,16079.898490407302,0.028436510742677116,11.315884877436744,0.32349126017515634,1.2939650407006253,6706.645639376578,0.005640105279656082,2.244396197449223,0.32342401114731717,23.39159193892181
70422,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,iFlight XING X1404 ,2.0,18.3,12.5,,3800,8.5,,0.28,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,203.92000000000002,16079.898490407302,0.028436510742677116,11.315884877436744,0.32349126017515634,1.2939650407006253,6706.645639376578,0.005640105279656082,2.244396197449223,0.32342401114731717,23.39159193892181
118894,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,EMAX ECO Micro Series 1404,1.5,18.8,19.75,9N12P,6000,8.6,1.0,0.12,,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,196.2,11746.737528406291,0.023106783247099194,14.518420099435708,0.2013286037501427,0.8053144150005708,6305.085110681854,0.007308373489209923,4.591985640405779,0.43294210683666595,22.86592516232727
70414,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,197.8,13888.003323185532,0.0314975085256769,9.895234139064844,0.27581880322102087,1.1032752128840835,6305.085121050591,0.007308374859846544,2.295993674414104,0.37088827961974913,22.865916655191594
70516,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,EMAX ECO Micro Series 1106,2.0,14.2,19.9,9N12P,4500,6.7,0.6,0.3,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,184.52,19498.231054013868,0.02169500988805838,10.223532552582322,0.2774329345306736,1.1097317381226943,8824.667951471298,0.005004987351103426,2.3585028243402655,0.3606200229528678,22.259884303800067
70324,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,TMOTOR F15,1.5,14.4,13.3,,4500,7.8,,0.197,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,188.92000000000002,21984.09254930529,0.027087536850590205,12.764701016012078,0.3476410702794816,1.3905642811179264,8824.66859852146,0.005005076944517906,2.3585869442081173,0.32779447220906766,22.259090396867514
118692,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,TMOTOR F1103,1.5,14.4,14.0,,8000,5.3,,0.163,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,177.07999999999998,11873.542349734882,0.016226533887359115,13.593909241000858,0.1829198838792739,0.7316795355170956,6706.645335696005,0.005640055621820339,4.724961819518598,0.4347295793360903,22.222401790899106
118698,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,TMOTOR F1103,1.5,14.4,14.0,,8000,5.3,,0.163,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,189.12,11873.542349734882,0.016226533887359115,13.593909241000858,0.1829198838792739,0.7316795355170956,6706.645335696005,0.005640055621820339,4.724961819518598,0.4347295793360903,22.222401790899106
118913,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,EMAX ECO Micro Series 1106,2.0,14.2,19.9,9N12P,6000,6.7,1.2,0.19,,DALPROP 6040,6.0,4.0,4.32,Nylon,191.07999999999998,8630.25285242215,0.01894466960565054,11.903286971559517,0.1591021830670047,0.6364087322680188,5250.183546302876,0.007553765845835738,4.746140398190211,0.48021547748827503,22.123239346235604
118916,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,EMAX ECO Micro Series 1106,2.0,14.2,19.9,9N12P,6000,6.7,1.2,0.19,,KingKong 6040,6.0,4.0,3.38,Plastic,187.32,8630.25285242215,0.01894466960565054,11.903286971559517,0.1591021830670047,0.6364087322680188,5250.183546302876,0.007553765845835738,4.746140398190211,0.48021547748827503,22.123239346235604
70409,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,,DALPROP 6040,6.0,4.0,4.32,Nylon,200.28,12410.295260701641,0.03709714049213068,11.654410403926619,0.31496499967733577,1.259859998709343,5250.183854628829,0.007553801829179971,2.373092550272963,0.3262874593179375,22.12303097658843
70412,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,,KingKong 6040,6.0,4.0,3.38,Plastic,196.51999999999998,12410.295260701641,0.03709714049213068,11.654410403926619,0.31496499967733577,1.259859998709343,5250.183854628829,0.007553801829179971,2.373092550272963,0.3262874593179375,22.12303097658843
118889,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,EMAX ECO Micro Series 1404,1.5,18.8,19.75,9N12P,6000,8.6,1.0,0.12,,DALPROP 6040,6.0,4.0,4.32,Nylon,198.68,10303.86237700505,0.026296237588904398,16.52241336527077,0.22201995688470197,0.8880798275388079,5250.1839022362365,0.007553809585751839,4.746194768122388,0.39042541149929527,22.122985913942674
118892,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,EMAX ECO Micro Series 1404,1.5,18.8,19.75,9N12P,6000,8.6,1.0,0.12,,KingKong 6040,6.0,4.0,3.38,Plastic,194.92000000000002,10303.86237700505,0.026296237588904398,16.52241336527077,0.22201995688470197,0.8880798275388079,5250.1839022362365,0.007553809585751839,4.746194768122388,0.39042541149929527,22.122985913942674
41626,1800,7.4,2S1P,25,17.3,89.79,30.2,100.06,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,202.86,10484.654478206465,0.0187248211276827,3.137373893040579,0.16259334830043531,0.6503733932017413,6305.0851208555405,0.0073083748389465185,1.2245299527539346,0.577202876726793,22.04927689949742
70432,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,iFlight XING X1404 ,2.0,18.3,12.5,,4600,8.5,,0.28,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,191.72,19970.33270943966,0.02267678669610148,10.923654728695915,0.2901959725553965,1.160783890221586,8824.66859656428,0.005005076674104681,2.410999727880006,0.3504711000609209,21.775199471367547
70499,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,EMAX ECO Micro Series 1404,1.5,18.8,19.75,9N12P,3700,8.6,0.5,0.265,,Gemfan 3052 - Flash,3.0,5.2,1.6,Poly Carbonate,189.8,20749.40972794524,0.017453167315322555,6.7624582070930765,0.17714022850446787,0.7085609140178715,11921.96027495537,0.006261188969107847,2.4259796512926575,0.5223021666562411,21.640742110934827
41624,1800,7.4,2S1P,25,17.3,89.79,30.2,100.06,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,,KingKong 6040,6.0,4.0,3.38,Plastic,201.57999999999998,10029.36282691621,0.025014921615505194,4.19128975250877,0.21103078069966055,0.8441231227986422,5250.183941589462,0.007553815690160112,1.2656539662221937,0.4896069641045139,21.33284509082001
41621,1800,7.4,2S1P,25,17.3,89.79,30.2,100.06,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,,DALPROP 6040,6.0,4.0,4.32,Nylon,205.34,10029.36282691621,0.025014921615505194,4.19128975250877,0.21103078069966055,0.8441231227986422,5250.183941589462,0.007553815690160112,1.2656539662221937,0.4896069641045139,21.33284509082001
53272,2200,7.4,2S1P,25,21.0,84.0,32.0,134.0,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,176.72,17508.523924942765,0.017777895422445778,5.585090565544327,0.22660847076179103,0.9064338830471641,8824.667392856747,0.005005031503964517,1.5723631424268516,0.45700236182410925,20.98751815631242
54280,2200,7.4,2S1P,50,20.0,87.2,34.0,130.0,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,172.72,17508.523924942765,0.017777895422445778,5.585090565544327,0.22660847076179103,0.9064338830471641,8824.667392856747,0.005005031503964517,1.5723631424268516,0.45700236182410925,20.98751815631242
52264,2200,7.4,2S1P,25,18.53,106.0,34.0,135.6,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,178.32,17508.523924942765,0.017777895422445778,5.585090565544327,0.22660847076179103,0.9064338830471641,8824.667392856747,0.005005031503964517,1.5723631424268516,0.45700236182410925,20.98751815631242
70489,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,EMAX ECO Micro Series 1404,1.5,18.8,19.75,9N12P,3700,8.6,0.5,0.265,,Gemfan 5040 R,5.0,4.0,3.0,ABS,195.4,15721.39629221525,0.03068800104155533,11.890467830479093,0.2932731414899802,1.1730925659599207,6908.242356989121,0.006703321244684716,2.597289588539672,0.34532084728094475,20.213379452045686
54330,2200,7.4,2S1P,50,20.0,87.2,34.0,130.0,EMAX ECO Micro Series 1407,2.0,18.8,31.2,9N12P,2800,13.7,0.7,0.18,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,205.72,16374.2280954322,0.029406933680350616,8.622563302713894,0.3347127946800222,1.3388511787200887,6706.645621145972,0.005640103692852578,1.653764696939435,0.3639065168148398,19.95447118992923
54324,2200,7.4,2S1P,50,20.0,87.2,34.0,130.0,EMAX ECO Micro Series 1407,2.0,18.8,31.2,9N12P,2800,13.7,0.7,0.18,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,193.68,16374.2280954322,0.029406933680350616,8.622563302713894,0.3347127946800222,1.3388511787200887,6706.645621145972,0.005640103692852578,1.653764696939435,0.3639065168148398,19.95447118992923
53316,2200,7.4,2S1P,25,21.0,84.0,32.0,134.0,EMAX ECO Micro Series 1407,2.0,18.8,31.2,9N12P,2800,13.7,0.7,0.18,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,197.68,16374.2280954322,0.029406933680350616,8.622563302713894,0.3347127946800222,1.3388511787200887,6706.645621145972,0.005640103692852578,1.653764696939435,0.3639065168148398,19.95447118992923
52308,2200,7.4,2S1P,25,18.53,106.0,34.0,135.6,EMAX ECO Micro Series 1407,2.0,18.8,31.2,9N12P,2800,13.7,0.7,0.18,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,199.28,16374.2280954322,0.029406933680350616,8.622563302713894,0.3347127946800222,1.3388511787200887,6706.645621145972,0.005640103692852578,1.653764696939435,0.3639065168148398,19.95447118992923
118891,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,EMAX ECO Micro Series 1404,1.5,18.8,19.75,9N12P,6000,8.6,1.0,0.12,,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,201.4,10491.345103761127,0.025881809773521284,16.262020689220645,0.1959239918871407,0.7836959675485629,5713.351691905118,0.008408242766508438,5.28305472284262,0.4287004996554871,19.874865112792794
70411,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,203.0,12606.418104578584,0.036353951919362686,11.420930827882637,0.2767180091148898,1.1068720364595592,5713.351692126776,0.0084082427956027,2.6415273795121745,0.3573078689602279,19.874864976677042
70326,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,TMOTOR F15,1.5,14.4,13.3,,4500,7.8,,0.197,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,201.12,18264.107547320273,0.03599227836273136,16.960961593547356,0.4110125087750057,1.644050035100023,6706.645622388604,0.005640103868086394,2.657836284324198,0.2721566813345947,19.752909654233672
70320,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,TMOTOR F15,1.5,14.4,13.3,,4500,7.8,,0.197,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,189.07999999999998,18264.107547320273,0.03599227836273136,16.960961593547356,0.4110125087750057,1.644050035100023,6706.645622388604,0.005640103868086394,2.657836284324198,0.2721566813345947,19.752909654233672
70518,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,EMAX ECO Micro Series 1106,2.0,14.2,19.9,9N12P,4500,6.7,0.6,0.3,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,196.72,15795.973932031226,0.027514590347941265,12.965945235532427,0.31283633563172497,1.2513453425268999,6706.645622990303,0.005640103970512221,2.6578363804171294,0.3091508929895926,19.752908940075717
70512,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,EMAX ECO Micro Series 1106,2.0,14.2,19.9,9N12P,4500,6.7,0.6,0.3,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,184.68,15795.973932031226,0.027514590347941265,12.965945235532427,0.31283633563172497,1.2513453425268999,6706.645622990303,0.005640103970512221,2.6578363804171294,0.3091508929895926,19.752908940075717
70407,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,,Gemfan Hurricane 51499,5.1,4.99,5.2,Poly Carbonate,203.8,12355.806975514535,0.03730362994566983,11.71927741010173,0.28092478944091603,1.1236991577636641,5555.010956358731,0.008500740485288302,2.6705863407828865,0.351274931649385,19.658604254153992
118887,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,EMAX ECO Micro Series 1404,1.5,18.8,19.75,9N12P,6000,8.6,1.0,0.12,,Gemfan Hurricane 51499,5.1,4.99,5.2,Poly Carbonate,202.2,10251.976557597787,0.026410931361884993,16.594477003336404,0.1977837760336924,0.7911351041347696,5555.010958292009,0.008500740609485104,5.341172834197119,0.4234529458970252,19.658603692382393
118917,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,EMAX ECO Micro Series 1106,2.0,14.2,19.9,9N12P,6000,6.7,1.2,0.19,,Quanum Carbon Fiber Propeller 6045 Self-Locking,6.0,4.5,6.78,Carbon Fiber,200.92000000000002,7610.594060480243,0.020368211158323046,12.797724508350663,0.15165713443153372,0.6066285377261349,4749.418697334198,0.008513603151011838,5.349254610910952,0.48862923215192283,19.62890302245662
118910,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,EMAX ECO Micro Series 1106,2.0,14.2,19.9,9N12P,6000,6.7,1.2,0.19,,6045 plastic,6.0,4.5,6.0,Plastic,197.8,7610.594060480243,0.020368211158323046,12.797724508350663,0.15165713443153372,0.6066285377261349,4749.418697334198,0.008513603151011838,5.349254610910952,0.48862923215192283,19.62890302245662
118886,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,EMAX ECO Micro Series 1404,1.5,18.8,19.75,9N12P,6000,8.6,1.0,0.12,,6045 plastic,6.0,4.5,6.0,Plastic,205.4,9175.955891204054,0.028789458318913306,18.088950151105482,0.21556608452297266,0.8622643380918906,4749.418697416223,0.00851360316319342,5.349254626047869,0.3874271183860671,19.628902966912232
70406,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,,6045 plastic,6.0,4.5,6.0,Plastic,207.0,11205.229990409858,0.041663618932971345,13.089011916178741,0.313839074159593,1.255356296638372,4749.418697472326,0.008513603169152993,2.674627316709996,0.31513989385174423,19.628902939860485
70428,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,iFlight XING X1404 ,2.0,18.3,12.5,,4600,8.5,,0.28,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,191.88,16184.281341812526,0.028778955106440084,13.86313560418282,0.3274504345132422,1.3098017380529687,6706.645420822961,0.0056400840651439944,2.7168803853417725,0.299823365368484,19.32363319461917
70434,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,iFlight XING X1404 ,2.0,18.3,12.5,,4600,8.5,,0.28,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,203.92000000000002,16184.281341812526,0.028778955106440084,13.86313560418282,0.3274504345132422,1.3098017380529687,6706.645420822961,0.0056400840651439944,2.7168803853417725,0.299823365368484,19.32363319461917
31546,1550,7.4,2S1P,25,17.0,90.0,30.0,102.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,204.8,10484.654478206465,0.0187248211276827,3.137373893040579,0.16259334830043531,0.6503733932017413,6305.0851208555405,0.0073083748389465185,1.2245299527539346,0.577202876726793,18.98687733012278
118693,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,TMOTOR F1103,1.5,14.4,14.0,,8000,5.3,,0.163,,Gemfan 5040 R,5.0,4.0,3.0,ABS,180.2,11325.321645152453,0.016728366910976535,14.014323891754254,0.15830113162407217,0.6332045264962887,6908.219203279417,0.006700808472743753,5.611585903041569,0.48059889259613825,18.71128800560432
54282,2200,7.4,2S1P,50,20.0,87.2,34.0,130.0,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,184.92000000000002,15330.193693215615,0.026032467424014584,8.178340841409982,0.29571919113521505,1.1828767645408602,6706.645622957465,0.005640103966047229,1.7718909174886976,0.36914567538954823,18.624171315676094
53274,2200,7.4,2S1P,25,21.0,84.0,32.0,134.0,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,188.92000000000002,15330.193693215615,0.026032467424014584,8.178340841409982,0.29571919113521505,1.1828767645408602,6706.645622957465,0.005640103966047229,1.7718909174886976,0.36914567538954823,18.624171315676094
52260,2200,7.4,2S1P,25,18.53,106.0,34.0,135.6,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,178.48,15330.193693215615,0.026032467424014584,8.178340841409982,0.29571919113521505,1.1828767645408602,6706.645622957465,0.005640103966047229,1.7718909174886976,0.36914567538954823,18.624171315676094
52266,2200,7.4,2S1P,25,18.53,106.0,34.0,135.6,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,190.51999999999998,15330.193693215615,0.026032467424014584,8.178340841409982,0.29571919113521505,1.1828767645408602,6706.645622957465,0.005640103966047229,1.7718909174886976,0.36914567538954823,18.624171315676094
53268,2200,7.4,2S1P,25,21.0,84.0,32.0,134.0,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,176.88,15330.193693215615,0.026032467424014584,8.178340841409982,0.29571919113521505,1.1828767645408602,6706.645622957465,0.005640103966047229,1.7718909174886976,0.36914567538954823,18.624171315676094
54276,2200,7.4,2S1P,50,20.0,87.2,34.0,130.0,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,172.88,15330.193693215615,0.026032467424014584,8.178340841409982,0.29571919113521505,1.1828767645408602,6706.645622957465,0.005640103966047229,1.7718909174886976,0.36914567538954823,18.624171315676094
70498,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,EMAX ECO Micro Series 1404,1.5,18.8,19.75,9N12P,3700,8.6,0.5,0.265,,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,198.2,14469.876288295867,0.03398227608052593,13.166877829376984,0.29794416302037113,1.1917766520814845,6305.085034064781,0.007308368346909506,2.8317205570056303,0.3316868897081377,18.539964994114925
31544,1550,7.4,2S1P,25,17.0,90.0,30.0,102.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,,KingKong 6040,6.0,4.0,3.38,Plastic,203.51999999999998,10029.36282691621,0.025014921615505194,4.19128975250877,0.21103078069966055,0.8441231227986422,5250.183941589462,0.007553815690160112,1.2656539662221937,0.4896069641045139,18.36994993931723
31541,1550,7.4,2S1P,25,17.0,90.0,30.0,102.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,,DALPROP 6040,6.0,4.0,4.32,Nylon,207.28,10029.36282691621,0.025014921615505194,4.19128975250877,0.21103078069966055,0.8441231227986422,5250.183941589462,0.007553815690160112,1.2656539662221937,0.4896069641045139,18.36994993931723
